superficie_construida,precio,distritos_id,dormitorios,banos
600,5400000,10,5,4.5
600,3800000,10,5,4.5
59,330000,9,1,1
63,402000,8,1,1
300,1750000,10,5,4.5
300,1300000,10,5,4.5
100,875000,7,2,2.5
150,1050000,10,1,2
322,1159200,4,2,2
56,525000,7,1,1
56,450000,7,1,1
56,400000,7,1,1
190,930000,9,5,3
190,725000,9,5,3
190,725000,9,5,3
190,650000,9,5,3
100,961620,8,2,2
300,2100000,10,6,4
400,5200000,17,4,4
95,590000,10,3,1
94,480000,12,1,2
94,400000,12,1,2
385,1386000,4,2,2
350,2476000,8,5,4
150,1390000,7,2,2.5
150,950000,7,2,2.5
150,850000,7,2,2.5
150,895000,7,2,2.5
179,827560,14,3,3
245,1030000,35,5,3.5
130,950000,7,5,2
400,2600000,7,5,4
198,1450000,7,4,3
97,430000,35,2,2
220,1000000,14,3,3
198,760000,14,3,3
240,1650000,7,4,3.5
135,837000,7,2,2.5
375,2400000,15,6,5.5
105,425000,10,3,2
175,750000,9,5,3
432,1563000,35,8,6
140,750000,8,4,3
345,1800000,7,4,3
300,3600000,7,5,3.5
60,284000,4,1,1
175,1500000,17,4,3.5
500,6300000,7,5,5.5
500,5000000,7,5,5.5
500,4635000,7,5,5.5
500,4350000,7,5,5.5
500,3750000,7,5,5.5
500,3750000,7,5,5.5
500,3750000,7,5,5.5
500,3750000,7,5,5.5
500,3750000,7,5,5.5
500,3750000,7,5,5.5
500,3750000,7,5,5.5
180,1400000,14,4,4
180,1050000,14,4,4
180,1050000,14,4,4
180,1200000,14,4,4
220,1200000,35,3,3
291,1800000,14,6,4
291,1500000,14,6,4
170,1000000,11,4,3
127,540000,7,1,1.5
127,470000,7,1,1.5
90,550000,10,2,2
87,465000,10,2,2
715,4000000,10,6,4
715,3300000,10,6,4
715,3300000,10,6,4
715,3300000,10,6,4
715,3300000,10,6,4
715,3300000,10,6,4
715,3300000,10,6,4
715,2950000,10,6,4
715,3200000,10,6,4
715,3200000,10,6,4
715,3200000,10,6,4
715,3200000,10,6,4
715,2950000,10,6,4
715,3300000,10,6,4
715,3300000,10,6,4
715,3300000,10,6,4
180,1200000,15,4,4
180,950000,15,4,4
180,725000,15,4,4
180,680000,15,4,4
180,680000,15,4,4
265,1995000,10,4,4
265,1795000,10,4,4
159,480000,4,2,2
159,480000,4,2,2
410,3000000,7,6,5.5
185,1250000,4,1,1
140,1000000,4,2,2
140,1250000,4,2,2
140,1250000,4,2,2
140,1000000,4,2,2
140,1000000,4,2,2
140,1000000,4,2,2
140,1000000,4,2,2
140,1000000,4,2,2
140,1000000,4,2,2
140,1000000,4,2,2
110,750000,7,2,2
160,920000,8,4,3
314,2400000,10,4,3.5
250,1800000,35,5,4
171,780000,35,3,3
135,1075000,7,2,1.5
155,1200000,35,4,3
240,1530000,8,4,4
130,790000,35,2,2
230,1600000,4,3,2
215,1130000,10,5,4
48,273460,8,1,1
192,1250000,7,3,3
192,920000,7,3,3
192,750000,7,3,3
192,750000,7,3,3
192,695000,7,3,3
192,695000,7,3,3
192,695000,7,3,3
192,695000,7,3,3
192,695000,7,3,3
190,950000,10,4,3
200,980000,17,4,3
308,1700000,7,5,4
62,450000,7,1,1
62,406000,7,1,1
62,312000,7,1,1
62,312000,7,1,1
200,850000,9,4,3
290,2000000,10,4,4.5
190,1030000,7,4,2.5
300,2704500,8,6,4.5
300,2750000,8,6,4.5
60,318000,10,2,1
112,750000,7,3,3
78,309000,16,1,0.5
80,446000,10,2,2
460,2815000,17,5,4.5
227,1850000,17,4,3
227,1850000,17,4,3
227,1850000,17,4,3
227,1850000,17,4,3
227,1850000,17,4,3
227,1850000,17,4,3
227,1850000,17,4,3
227,1850000,17,4,3
215,1000000,11,4,3
215,1000000,11,4,3
190,1360000,7,4,3.5
195,1275000,10,4,3
195,1150000,10,4,3
165,900000,14,3,3
300,1760000,7,5,3
220,1200000,14,1,2
115,600000,4,1,1
52,160000,21,1,1
146,690000,7,4,3
190,940000,4,3,3
501,4600000,10,7,5
501,4000000,10,7,5
501,3800000,10,7,5
501,3600000,10,7,5
501,3200000,10,7,5
70,450000,8,2,1.5
155,1140000,8,3,3
155,750000,4,2,2
80,480000,1,1,1
206,1238000,7,5,3
135,850000,7,3,3.5
135,1200000,7,3,3.5
135,1000000,7,3,3.5
135,800000,7,3,3.5
135,800000,7,3,3.5
135,650000,7,3,3.5
81,537800,8,1,1
156,630000,4,2,2
156,595000,4,2,2
156,570000,4,2,2
156,520000,4,2,2
170,790000,7,4,3
195,1030000,7,2,2
78,190000,21,1,1
62,270000,10,1,1
200,1100000,7,4,3
151,800000,7,3,2
204,1550000,17,3,3
150,715900,14,3,2
100,660000,8,2,2
85,515000,8,2,2
90,88000,8,1,1.5
172,902000,7,5,3
200,2060000,7,3,3
542,2750000,10,7,4
542,2600000,10,7,4
350,2206000,7,5,4
127,914000,8,2,2
370,1854000,8,6,4
370,1648000,8,6,4
330,2900000,10,5,4
330,2500000,10,5,4
330,2500000,10,5,4
330,1450000,10,5,4
260,2350000,4,4,4
370,2000000,8,6,4
220,1860000,7,4,2.5
220,1600000,7,4,2.5
220,1500000,7,4,2.5
220,1295000,7,4,2.5
420,2500000,10,5,3
420,2200000,10,5,3
420,1800000,10,5,3
238,700000,9,5,3
210,940000,35,4,3.5
230,1600000,8,4,3
230,1500000,8,4,3
375,1800000,15,4,3
480,3500000,17,8,8
278,1950000,10,4,3
340,2700000,7,4,4
340,2100000,7,4,4
205,1020000,10,5,3
205,695000,10,5,3
205,600000,10,5,3
205,575000,10,5,3
205,500000,10,5,3
205,525000,10,5,3
205,525000,10,5,3
205,565000,10,5,3
80,280000,14,2,1
250,1400000,7,4,3
236,2075000,7,4,3.5
370,1854000,7,6,4
50,165000,1,1,1
350,1300000,7,5,4
570,6000000,7,3,3.5
260,1830000,7,4,4
500,4500000,7,5,5.5
500,3300000,7,5,5.5
500,3100000,7,5,5.5
524,2800000,10,7,5
267,1825000,7,4,3
168,1100000,7,3,2.5
147,600000,35,4,3
346,1650000,14,7,5
247,1700000,8,1,1.5
247,1500000,8,1,1.5
247,1000000,8,1,1.5
247,1050000,8,1,1.5
56,410000,8,1,1
154,780000,35,4,3
263,1200000,14,4,4.5
130,590000,15,4,3
160,1265000,17,3,3
156,1000000,4,2,2
215,1500000,8,5,3
50,270000,4,1,1
135,1576000,7,3,2.5
500,2850000,8,4,4.5
500,2800000,8,4,4.5
54,320000,14,2,1
175,721000,14,4,3
180,2250000,7,3,3
84,510900,16,2,2
195,1000000,17,4,3
125,600000,8,3,2.5
370,2500000,7,3,4
290,2289000,8,3,5
50,335000,8,1,2
165,700000,14,4,3
165,690000,14,4,3
165,609000,14,4,3
165,510000,14,4,3
159,850000,14,4,3.5
210,1500000,8,4,3
210,1400000,8,4,3
140,1000000,4,2,2
60,571000,10,1,1
50,336000,14,1,1
140,600000,15,4,2.5
70,300000,7,5,1
70,300000,7,5,1
390,2400000,10,5,4.5
61,440000,10,1,1
193,1600000,4,4,3
193,1000000,4,4,3
193,1000000,4,4,3
200,1050000,8,4,4
183,1230000,8,3,3
472,3800000,10,7,5
472,3100000,10,7,5
472,2800000,10,7,5
472,2800000,10,7,5
472,3100000,10,7,5
472,2740000,10,7,5
62,2000000,16,1,2
260,1650000,7,4,3
360,1750000,14,4,3.5
360,1800000,14,4,3.5
367,1642000,14,5,4
1110,18000000,10,10,10
1110,18000000,10,10,10
1110,18000000,10,10,10
1110,18000000,10,10,10
1110,18000000,10,10,10
1110,18000000,10,10,10
1110,18000000,10,10,10
1110,18000000,10,10,10
1110,18000000,10,10,10
1110,20000000,10,10,10
1110,20000000,10,10,10
1110,20000000,10,10,10
200,1075000,4,3,2
335,2400000,4,4,3
74,408000,8,2,1
300,1700000,14,4,4.5
300,2000000,14,4,4.5
166,1250000,7,4,3.5
280,2600000,4,5,4.5
52,270000,14,1,1
183,600000,4,4,3
183,490000,4,4,3
117,600000,12,2,2
202,995000,14,4,3
202,925000,14,4,3
95,628000,4,2,2
115,625000,10,3,2
200,900000,7,4,3
220,1600000,7,4,2
220,1550000,7,4,2
335,2500000,4,4,3
214,1352000,35,4,3
52,165000,35,1,1
420,2500000,10,5,4.5
420,1900000,10,5,4.5
110,1250000,8,2,1
220,980000,14,4,4
255,1600000,4,4,3
287,1500000,9,6,3
287,1350000,9,6,3
287,1300000,9,6,3
287,1300000,9,6,3
287,1300000,9,6,3
48,251806,4,1,1
49,257477,4,1,1
145,930000,8,3,3
244,841000,9,4,2
210,1370000,7,4,3
309,3109300,7,4,4.5
309,2900000,7,4,4.5
309,2900000,7,4,4.5
270,2500000,10,4,3
270,2400000,10,4,3
155,877500,7,3,3
176,960000,10,4,3
130,990000,10,2,2.5
130,595000,10,2,2.5
170,870000,7,4,2
170,800000,7,4,2
436,2500000,8,5,4
436,2250000,8,5,4
436,2250000,8,5,4
436,2250000,8,5,4
436,2250000,8,5,4
