age;job;marital;education;default;;
30;unemployed;married;primary;no;;
33;services;married;secondary;no;;
35;management;single;tertiary;no;;
30;management;married;tertiary;no;;
59;blue-collar;married;secondary;no;;
35;management;single;tertiary;no;;
36;self-employed;married;tertiary;no;;
39;technician;married;secondary;no;;
41;entrepreneur;married;tertiary;no;;
43;services;married;primary;no;;
39;services;married;secondary;no;;
43;admin.;married;secondary;no;;
36;technician;married;tertiary;no;;
20;student;single;secondary;no;;
31;blue-collar;married;secondary;no;;
40;management;married;tertiary;no;;
56;technician;married;secondary;no;;
37;admin.;single;tertiary;no;;
25;blue-collar;single;primary;no;;
31;services;married;secondary;no;;
38;management;divorced;unknown;no;;
42;management;divorced;tertiary;no;;
44;services;single;secondary;no;;
44;entrepreneur;married;secondary;no;;
26;housemaid;married;tertiary;no;;
41;management;married;tertiary;no;;
55;blue-collar;married;primary;no;;
56;self-employed;married;secondary;no;;
53;admin.;married;secondary;no;;
31;technician;married;secondary;no;;
59;management;married;secondary;no;;
32;management;single;tertiary;no;;
49;technician;married;tertiary;no;;
42;admin.;divorced;secondary;no;;
32;blue-collar;married;secondary;no;;
33;management;married;secondary;no;;
23;services;single;tertiary;no;;
38;management;single;tertiary;no;;
36;management;single;tertiary;no;;
52;blue-collar;married;secondary;no;;
32;technician;married;tertiary;no;;
32;technician;single;tertiary;no;;
34;management;single;tertiary;no;;
55;blue-collar;married;primary;no;;
26;blue-collar;married;primary;no;;
32;entrepreneur;single;primary;yes;;
61;admin.;married;unknown;no;;
45;blue-collar;divorced;primary;no;;
37;technician;single;secondary;no;;
38;technician;single;secondary;no;;
34;technician;married;tertiary;no;;
53;blue-collar;married;secondary;no;;
48;admin.;married;secondary;no;;
57;management;married;secondary;no;;
33;self-employed;single;tertiary;no;;
36;retired;single;secondary;no;;
54;technician;divorced;secondary;no;;
41;blue-collar;married;primary;no;;
63;retired;married;secondary;no;;
48;management;married;tertiary;no;;
48;services;married;secondary;no;;
56;admin.;married;secondary;no;;
51;blue-collar;divorced;secondary;no;;
31;services;married;secondary;no;;
29;technician;married;secondary;no;;
41;management;married;secondary;no;;
32;technician;single;tertiary;no;;
37;management;married;tertiary;no;;
42;entrepreneur;divorced;tertiary;yes;;
31;management;single;tertiary;no;;
41;services;married;tertiary;no;;
56;retired;married;secondary;no;;
54;management;divorced;tertiary;no;;
41;blue-collar;divorced;secondary;no;;
40;technician;single;secondary;no;;
50;blue-collar;divorced;primary;no;;
40;unemployed;married;secondary;no;;
27;admin.;divorced;secondary;no;;
60;retired;married;primary;no;;
28;admin.;single;secondary;no;;
52;services;married;secondary;no;;
37;management;married;tertiary;no;;
51;blue-collar;married;primary;no;;
41;technician;single;secondary;no;;
35;blue-collar;single;primary;no;;
38;admin.;married;secondary;no;;
34;blue-collar;married;secondary;no;;
39;blue-collar;married;primary;no;;
34;blue-collar;married;primary;no;;
27;services;single;secondary;no;;
32;management;single;tertiary;no;#¡REF!;#¡REF!
57;blue-collar;married;secondary;no;#¡REF!;
41;unknown;single;tertiary;no;;
41;admin.;married;tertiary;no;;
30;admin.;single;tertiary;no;;
36;blue-collar;divorced;secondary;no;;
31;unemployed;single;primary;no;;
36;blue-collar;married;secondary;no;;
38;management;single;tertiary;no;;
49;technician;married;secondary;no;;
57;services;single;primary;no;;
34;management;single;secondary;no;;
32;management;single;tertiary;no;;
37;blue-collar;married;secondary;no;;
33;self-employed;married;tertiary;no;;
56;unemployed;married;primary;no;;
