id. cervecera;nombre cervecera;fecha encuesta;nota global;aroma;aspecto;encuestado;estilo;paladar;gusto;nombre;volument de alcohol;id. cerveza
1075;Caldera Brewing Company;1210468644;4.0;4.0;4.5;Wasatch;American Pale Ale (APA);4.0;4.0;Caldera Pale Ale;5.5;25414
1075;Caldera Brewing Company;1299616654;2.5;3.5;4.0;Thorpe429;American Pale Ale (APA);2.0;2.5;Caldera Pale Ale;5.5;25414
1075;Caldera Brewing Company;1262623366;4.5;3.5;3.5;rfgetz;American Pale Ale (APA);4.0;4.0;Caldera Pale Ale;5.5;25414
1075;Caldera Brewing Company;1281981701;4.0;4.0;4.0;Brent;American IPA;4.0;4.0;Caldera IPA;6.1;10784
1075;Caldera Brewing Company;1280541063;5.0;4.0;4.5;JohnQVegas;American IPA;4.5;5.0;Caldera IPA;6.1;10784
1075;Caldera Brewing Company;1277179754;4.0;4.0;3.5;WYVYRN527;American IPA;4.0;4.5;Caldera IPA;6.1;10784
1075;Caldera Brewing Company;1325383668;4.0;3.5;4.0;TheFightfan1;American IPA;4.0;4.0;Caldera IPA;6.1;10784
1075;Caldera Brewing Company;1250129621;3.5;4.5;4.0;cerveza5150;American IPA;3.5;4.0;Caldera IPA;6.1;10784
1075;Caldera Brewing Company;1227408943;4.0;4.0;4.0;ArrogantB;American IPA;4.5;3.5;Caldera IPA;6.1;10784
1075;Caldera Brewing Company;1212289363;3.5;4.5;4.0;cjgator3;American IPA;3.5;4.0;Caldera IPA;6.1;10784
1075;Caldera Brewing Company;1306993015;4.5;5.0;4.0;Schmit;American IPA;4.0;4.5;Caldera IPA;6.1;10784
1075;Caldera Brewing Company;1301344172;3.5;3.0;4.0;beagle75;American IPA;4.0;3.0;Hopportunity Knocks;6.8;56071
8802;Conwy Brewery Ltd;1225307603;3.0;3.0;3.5;wl0307;English Bitter;3.5;3.5;Honey Fayre;4.5;45628
2724;Pacific Coast Brewing Company;1205614154;1.5;2.0;1.5;JDV;Belgian Strong Pale Ale;1.0;3.0;Holiday Trappist Style Ale;;41584
163;Amstel Brouwerij B. V.;1246860601;3.0;2.0;4.0;onix1agr;Light Lager;2.5;2.0;Amstel Light;3.5;436
163;Amstel Brouwerij B. V.;1227330650;2.0;2.0;3.0;pwent;Light Lager;2.0;2.0;Amstel Light;3.5;436
163;Amstel Brouwerij B. V.;1184607136;2.0;2.0;2.5;DoubleJ;Light Lager;2.5;2.0;Amstel Light;3.5;436
163;Amstel Brouwerij B. V.;1309581645;2.0;2.0;3.0;SWMeyer4141;Light Lager;1.5;2.5;Amstel Light;3.5;436
163;Amstel Brouwerij B. V.;1045921008;2.5;2.0;1.5;Bruiser81;Light Lager;3.0;2.5;Amstel Light;3.5;436
163;Amstel Brouwerij B. V.;1302404503;2.0;2.0;2.0;Knapp85;Light Lager;2.0;2.0;Amstel Light;3.5;436
163;Amstel Brouwerij B. V.;1273679985;4.0;2.5;3.5;BucBasil;Euro Pale Lager;3.0;3.5;Amstel Lager;5.0;1414
163;Amstel Brouwerij B. V.;1160840303;3.0;3.5;3.5;Absumaster;Bock;3.5;4.0;Amstel Bock;7.0;1418
1463;Harboes Bryggeri A/S;1178050474;3.5;3.0;4.0;bark;Euro Pale Lager;3.5;4.0;Harboe Påskebryg 2,8%;2.8;36609
1463;Harboes Bryggeri A/S;1102108212;2.0;2.0;2.5;bark;Euro Pale Lager;2.0;2.0;Christian Firtal;5.3;20986
1454;Broad Ripple Brew Pub;1216943757;4.0;3.5;4.0;schoolcb;American Amber / Red Lager;4.0;4.5;Amarillo Lager;5.0;43516
850;Moon River Brewing Company;1301605932;3.5;3.5;4.0;Redrover;American Porter;3.5;3.5;The Captain's Porter;6.0;2780
850;Moon River Brewing Company;1241183643;4.5;3.0;3.0;Ragingbull;American IPA;3.0;4.5;Swamp Fox IPA;5.8;2725
