superficie_construida,precio,distritos_id
220,1200000,35
1100,18000000,10
140,1000000,4
135,1075000,7
230,1600000,4
115,600000,4
570,6000000,7
1110,20000000,10
300,2500000,7
63,345000,8
500,3850000,7
101,570000,4
280,1900000,7
245,1200000,4
172,750000,7
558,5000000,4
320,3200000,8
150,800000,10
182,1900000,10
224,1650000,7
528,2500000,7
300,2500000,7
270,1200000,10
240,1100000,15
225,1900000,8
320,1925000,8
450,3500000,8
350,7000000,17
90,980000,7
211,1400000,7
230,4750000,17
310,2100000,4
147,1150000,4
850,13000000,17
650,4100000,4
485,3200000,8
539,2490000,8
250,2600000,8
468,2450000,8
90,450000,7
213,1250000,14
450,1700000,8
290,4200000,7
290,4200000,7
74,340000,12
460,1900000,8
1110,18000000,10
184,2484000,7
944,14500000,10
702,10700000,7
400,3150000,8
654,5000000,7
280,2700000,10
450,1700000,8
120,740000,7
413,4800000,10
805,13000000,17
100,500000,4
337,3500000,17
620,9500000,7
80,640000,10
440,1650000,8
320,1580000,8
478,6300000,7
238,1740000,4
366,3200000,8
419,7200000,17
401,4150000,7
358,3490000,10
394,2650000,8
76,570000,8
176,1200000,7
387,4700000,7
525,4000000,8
380,4250000,7
140,1000000,4
321,1700000,14
152,1500000,4
519,2600000,8
300,3900000,7
126,315000,11
279,2000000,10
137,1265000,7
306,3900000,7
222,2150000,4
400,4180000,8
243,1750000,10
348,2100000,4
306,1300000,4
77,300000,7
350,2750000,7
294,2750000,7
471,11200000,7
363,4300000,7
124,1400000,7
654,5000000,7
117,785000,8
143,1550000,7
157,1500000,17
440,2300000,4
211,1100000,7
250,2400000,4
357,4650000,7
375,4950000,7
357,4450000,7
600,7500000,7
212,4500000,7
236,1550000,8
212,3500000,7
590,1400000,14
240,1000000,17
128,1296200,17
324,2800000,17
109,900000,7
330,4600000,7
215,1225000,8
262,686000,9
262,954000,9
200,1045000,12
222,1490000,8
565,6950000,7
406,7000000,17
400,2500000,7
254,560000,10
400,1450000,14
117,1250000,7
308,4200000,7
240,2700000,14
65,450000,7
319,1800000,7
129,899000,7
155,995000,4
236,1185000,9
224,1650000,7
342,2400000,14
480,6300000,7
188,1500000,8
152,1100000,4
348,2100000,4
125,730000,7
335,2300000,10
688,6950000,7
275,1990000,7
269,860000,11
160,1500000,4
336,3100000,4
127,925000,7
333,3950000,7
405,4000000,7
143,1070000,7
702,10700000,7
320,4400000,7
133,1150000,4
491,6800000,17
106,525000,7
220,1495000,8
286,1950000,7
212,998000,7
74,500000,4
228,2850000,17
285,1600000,10
434,3100000,7
596,3600000,10
596,3250000,10
220,980000,14
457,4200000,10
280,1375000,10
145,370000,11
272,1664000,7
270,4500000,8
197,895000,8
450,6750000,7
75,750000,7
260,3200000,10
355,4260000,17
370,5850000,17
596,3500000,10
290,2800000,10
188,2350000,10
151,1970000,10
463,2500000,8
210,1795000,8
240,5000000,7
121,570550,10
129,1200000,8
156,1150000,4
321,2180000,4
254,3150000,17
315,4700000,10
400,3950000,10
278,1675000,4
324,4650000,7
486,4320000,12
411,3450000,10
412,3150000,10
335,3130000,12
333,2500000,12
531,5873000,10
384,2768000,10
384,2858000,10
158,890000,4
176,1900000,7
278,2350000,4
254,3050000,17
400,3950000,10
214,1275000,4
515,3500000,10
399,5560000,7
427,5840000,7
459,3500000,10
387,3600000,7
126,2000000,10
269,1500000,14
65,385000,8
219,1150000,9
621,8000000,8
145,1590000,7
564,4700000,4
175,2200000,4
80,590000,10
254,2500000,17
290,2800000,10
189,2350000,10
314,3950000,7
151,1970000,10
346,4770000,10
604,13090000,7
117,699000,7
434,3200000,7
278,1675000,4
254,3150000,17
445,5907000,7
196,2750000,10
196,3300000,10
128,1400000,10
214,2850000,10
196,3300000,10
127,950000,9
354,5100000,7
214,1195000,7
214,1195000,7
219,1195000,7
214,1195000,7
214,1195000,7
214,1195000,7
219,1195000,7
300,3300000,10
214,1195000,7
274,1295000,7
196,2700000,10
196,2900000,10
307,1700000,14
213,1420000,10
165,1500000,7
219,1195000,7
137,1090000,4
223,2730000,4
223,2350000,4
175,2200000,4
278,1750000,4
240,1145000,7
219,1295000,7
219,1195000,7
106,1290000,10
115,859000,4
292,990000,14
198,2450000,4
175,2200000,4
254,3150000,17
278,1675000,4
198,2325000,4
298,2150000,10
214,1295000,7
301,4900000,7
225,2200000,4
350,3800000,7
197,1550000,14
254,3050000,17
378,4300000,10
350,3700000,4
175,2200000,4
270,1100000,11
163,900000,9
278,1750000,4
278,2350000,4
198,2325000,4
198,2770000,4
170,1550000,7
269,1300000,17
232,2280000,4
295,4900000,7
190,1350000,4
344,6200000,7
124,1150000,10
378,4300000,10
183,1100000,4
202,2000000,10
408,5250000,4
408,5250000,4
408,5250000,4
408,5250000,4
408,5250000,4
219,1195000,7
408,5250000,4
408,5200000,4
457,4200000,10
412,2636000,10
127,950000,9
102,829000,4
250,3000000,10
278,2350000,4
132,700000,9
333,1690000,8
348,2100000,4
426,5200000,7
352,2550000,7
323,3330000,4
96,535000,9
130,880000,7
350,3800000,7
387,3800000,7
246,2590000,7
252,1860000,4
150,1350000,4
291,3950000,7
252,1950000,4
146,655000,9
152,760000,11
204,1450000,8
550,9000000,8
286,3900000,7
128,889000,8
304,2975000,8
317,5040000,7
362,3200000,7
381,1800000,4
209,3000000,7
163,1100000,4
209,3000000,7
97,1450000,7
247,3600000,17
484,2550000,14
254,2600000,7
175,1850000,4
168,1850000,4
168,1900000,4
350,3700000,4
242,1199000,9
401,4000000,7
210,1625000,7
223,2300000,4
232,2380000,4
298,3200000,7
222,1850000,7
110,860000,8
408,5250000,4
400,4150000,7
254,3200000,17
237,3200000,7
198,1450000,4
150,1550000,4
145,1195000,8
232,2380000,4
232,2850000,4
77,760000,4
378,4300000,10
202,1000000,10
97,800000,14
232,1900000,10
91,819000,4
277,1250000,14
190,1600000,4
456,5200000,7
213,1470000,10
233,1800000,7
145,1145000,8
768,5000000,8
121,1100000,10
310,2090000,7
199,1299000,10
94,859000,4
199,1299000,10
199,1249000,10
300,3550000,7
239,1295000,16
207,975000,16
556,7800000,7
477,2580000,8
298,4000000,7
524,4500000,10
258,2600000,7
390,4100000,7
360,4750000,8
152,850000,14
258,2600000,7
390,4100000,7
225,2950000,7
279,3200000,10
258,2600000,7
678,8500000,4
200,2750000,10
258,2600000,7
390,4100000,7
220,1390000,14
247,885000,11
383,2600000,8
365,2450000,8
182,740000,15
77,590000,8
170,1890000,7
320,1650000,12
233,2550000,7
297,1780000,4
414,3800000,8
162,1500000,8
252,2300000,8
387,5500000,7
176,700000,9
135,600000,9
297,1780000,4
198,2540000,4
643,9200000,7
643,9200000,7
198,2325000,4
297,1780000,4
198,1300000,8
390,4100000,7
211,2750000,7
297,1780000,4
198,2770000,4
175,1850000,4
168,1850000,4
175,2250000,4
198,2450000,4
211,3050000,7
238,2380000,4
278,1750000,4
502,3500000,7
422,1950000,7
332,2200000,8
297,1780000,4
198,2425000,4
175,2200000,4
107,649000,4
643,9200000,7
211,2750000,7
188,1200000,8
166,2900000,7
200,2900000,10
344,6500000,7
350,3800000,7
193,1930000,17
106,839000,4
264,2500000,7
190,915000,14
211,2750000,7
359,2490000,8
210,890000,14
140,1050000,7
310,3300000,7
303,1665000,8
263,1445000,8
252,1860000,4
604,2750000,14
194,2075000,8
514,2700000,7
222,800000,7
300,3250000,10
128,1050000,7
321,2000000,14
405,4100000,7
254,2675000,17
295,4500000,7
230,1681500,7
401,3850000,7
412,3450000,10
283,3700000,7
231,2500000,7
297,1480000,8
350,3800000,7
94,515500,17
487,4630000,7
233,2550000,7
750,4500000,10
677,4500000,10
203,900000,9
133,1195000,10
303,2100000,7
166,1430000,8
240,1950000,7
528,7000000,7
350,3800000,7
104,440000,4
310,2200000,8
192,950000,14
153,608300,11
154,725300,11
154,730300,11
154,735300,11
120,825300,11
164,910300,11
136,652300,11
136,665300,11
120,890300,11
194,985300,11
193,880300,11
193,895300,11
193,1015300,11
266,1330300,11
271,1390300,11
750,7500000,7
78,699950,7
115,799950,7
128,899950,7
437,4200000,7
99,515000,12
110,460000,12
128,899950,7
115,799950,7
78,699950,7
168,1500000,7
201,1449000,9
183,1950000,7
145,1195000,7
540,7500000,7
132,1195000,7
99,475000,9
199,1500000,14
112,959000,4
219,1195000,7
223,2325000,4
378,4300000,10
672,7300000,7
624,7300000,10
485,7500000,10
378,4300000,10
119,959000,4
141,675000,9
199,749000,9
141,675000,9
153,679000,11
168,749000,14
122,795000,10
290,1650000,8
198,2325000,4
104,995000,4
287,860000,14
208,999000,10
65,295000,12
127,950000,8
378,3185000,7
186,1449000,8
154,830000,15
120,950000,8
153,1135000,11
263,2300000,8
263,2300000,8
368,5500000,7
199,1299000,10
135,599000,17
624,7300000,7
252,3495000,7
252,3495000,7
252,3495000,7
252,3495000,7
252,3495000,7
252,3495000,7
413,2950000,10
252,3495000,7
252,3495000,7
77,360500,4
378,3185000,7
413,2950000,10
220,2375000,10
184,2200000,4
265,1050000,14
